gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0042100201,1610612748,Miami,Heat,MIA,heat,240:00,0.609,0.391,0.585,0.094,0.255,0.123,0.16,0.208,0.491,0.452,0.548,0.778,0.222,0.525,0.475
0042100201,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.57,0.43,0.609,0.109,0.196,0.109,0.196,0.098,0.5,0.536,0.464,0.5,0.5,0.529,0.471
0042100201,1610612748,Miami,Heat,MIA,heat,240:00,0.609,0.391,0.585,0.094,0.255,0.123,0.16,0.208,0.491,0.452,0.548,0.778,0.222,0.525,0.475
0042100201,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.57,0.43,0.609,0.109,0.196,0.109,0.196,0.098,0.5,0.536,0.464,0.5,0.5,0.529,0.471
0042100202,1610612748,Miami,Heat,MIA,heat,240:00,0.628,0.372,0.437,0.084,0.353,0.067,0.21,0.101,0.353,0.538,0.462,0.786,0.214,0.625,0.375
0042100202,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.643,0.357,0.583,0.058,0.233,0.146,0.184,0.175,0.524,0.367,0.633,0.75,0.25,0.447,0.553
0042100202,1610612748,Miami,Heat,MIA,heat,240:00,0.628,0.372,0.437,0.084,0.353,0.067,0.21,0.101,0.353,0.538,0.462,0.786,0.214,0.625,0.375
0042100202,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.643,0.357,0.583,0.058,0.233,0.146,0.184,0.175,0.524,0.367,0.633,0.75,0.25,0.447,0.553
0042100203,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.507,0.493,0.323,0.04,0.485,0.192,0.192,0.172,0.283,0.438,0.563,0.938,0.063,0.688,0.313
0042100203,1610612748,Miami,Heat,MIA,heat,240:00,0.61,0.39,0.506,0.152,0.266,0.076,0.228,0.241,0.354,0.4,0.6,0.857,0.143,0.519,0.481
0042100203,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.507,0.493,0.323,0.04,0.485,0.192,0.192,0.172,0.283,0.438,0.563,0.938,0.063,0.688,0.313
0042100203,1610612748,Miami,Heat,MIA,heat,240:00,0.61,0.39,0.506,0.152,0.266,0.076,0.228,0.241,0.354,0.4,0.6,0.857,0.143,0.519,0.481
0042100204,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.515,0.485,0.362,0.069,0.414,0.155,0.224,0.095,0.293,0.667,0.333,0.688,0.313,0.676,0.324
0042100204,1610612748,Miami,Heat,MIA,heat,240:00,0.573,0.427,0.574,0.13,0.194,0.176,0.231,0.231,0.444,0.581,0.419,0.857,0.143,0.632,0.368
0042100204,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.515,0.485,0.362,0.069,0.414,0.155,0.224,0.095,0.293,0.667,0.333,0.688,0.313,0.676,0.324
0042100204,1610612748,Miami,Heat,MIA,heat,240:00,0.573,0.427,0.574,0.13,0.194,0.176,0.231,0.231,0.444,0.581,0.419,0.857,0.143,0.632,0.368
0042100205,1610612748,Miami,Heat,MIA,heat,240:00,0.607,0.393,0.533,0.067,0.325,0.125,0.142,0.192,0.467,0.469,0.531,0.846,0.154,0.578,0.422
0042100205,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.624,0.376,0.518,0.094,0.318,0.071,0.165,0.106,0.424,0.318,0.682,0.778,0.222,0.452,0.548
0042100205,1610612748,Miami,Heat,MIA,heat,240:00,0.607,0.393,0.533,0.067,0.325,0.125,0.142,0.192,0.467,0.469,0.531,0.846,0.154,0.578,0.422
0042100205,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.624,0.376,0.518,0.094,0.318,0.071,0.165,0.106,0.424,0.318,0.682,0.778,0.222,0.452,0.548
0042100206,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.575,0.425,0.533,0.0,0.4,0.122,0.067,0.144,0.533,0.542,0.458,0.667,0.333,0.583,0.417
0042100206,1610612748,Miami,Heat,MIA,heat,240:00,0.678,0.322,0.707,0.081,0.212,0.131,0.081,0.222,0.626,0.371,0.629,0.857,0.143,0.452,0.548
0042100206,1610612755,Philadelphia,76ers,PHI,sixers,240:00,0.575,0.425,0.533,0.0,0.4,0.122,0.067,0.144,0.533,0.542,0.458,0.667,0.333,0.583,0.417
0042100206,1610612748,Miami,Heat,MIA,heat,240:00,0.678,0.322,0.707,0.081,0.212,0.131,0.081,0.222,0.626,0.371,0.629,0.857,0.143,0.452,0.548
0042100211,1610612738,Boston,Celtics,BOS,celtics,240:00,0.405,0.595,0.225,0.0,0.607,0.09,0.169,0.067,0.225,0.5,0.5,0.889,0.111,0.75,0.25
0042100211,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.622,0.378,0.495,0.158,0.356,0.277,0.149,0.267,0.337,0.52,0.48,0.75,0.25,0.595,0.405
0042100211,1610612738,Boston,Celtics,BOS,celtics,240:00,0.405,0.595,0.225,0.0,0.607,0.09,0.169,0.067,0.225,0.5,0.5,0.889,0.111,0.75,0.25
0042100211,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.622,0.378,0.495,0.158,0.356,0.277,0.149,0.267,0.337,0.52,0.48,0.75,0.25,0.595,0.405
